Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .	being based in	the transmitter location	Tyrone
Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .	was	it	barely hearable
Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .	was	it	a rimshot to the southwest of the city
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	was sought for	a more descriptive name	it
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	starting in	a more descriptive name was sought for it	the 1990s
As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .	recognized as	Gypsy Horse	a breed
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	is	A cooling center	a temporary air-conditioned public space
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	set up by	a temporary air-conditioned public space	local authorities
A cooling center is a temporary air-conditioned public space set up by local authorities to deal with the health effects of a heat wave .	deal with	a temporary air-conditioned public space	the health effects of a heat wave
The race is in mixed eights , and usually held in late February / early March .	is in	The race	mixed eights
The race is in mixed eights , and usually held in late February / early March .	usually held in	The race	late February / early March
The Main Street Tunnel , located in Welland , Ontario , Canada , is an underwater tunnel , carrying Niagara Road 27 and the unsigned designation of Highway 7146 under the Welland Canal .	located in	The Main Street Tunnel	Welland , Ontario , Canada
The Main Street Tunnel , located in Welland , Ontario , Canada , is an underwater tunnel , carrying Niagara Road 27 and the unsigned designation of Highway 7146 under the Welland Canal .	is	The Main Street Tunnel	an underwater tunnel
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	forged	he	a rare mint mark
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	was told by	he	an organization of coin collectors
According to Hofmann , while still a teenage coin collector , he forged a rare mint mark on a dime and was told by an organization of coin collectors that it was genuine .	was	it	genuine
The price was n't disclosed but one analyst estimated that it was $ 150 million .	estimated	one analyst	that it was $ 150 million
The price was n't disclosed but one analyst estimated that it was $ 150 million .	was	it	$ 150 million
Both reflect the dismissal of lower - level and shorter - tenure executives .	reflect	Both	the dismissal of lower - level and shorter - tenure executives
U.S. makers have under 10 % share , compared with half the market in Europe and 80 % at home .	have	U.S. makers	under 10 % share
U.S. makers have under 10 % share , compared with half the market in Europe and 80 % at home .	compared with	U.S. makers have under 10 % share	half the market in Europe and 80 % at home
The establishment of a museum had first been planned in 1821 by the Philosophical Society of Australasia , and although specimens were collected , the Society folded in 1822 .	were	specimens	collected
The establishment of a museum had first been planned in 1821 by the Philosophical Society of Australasia , and although specimens were collected , the Society folded in 1822 .	folded in	the Society	1822
In Japan , those functions account for only about a third of the software market .	account for	those functions	only about a third of the software market
( Separately , the Senate last week passed a bill permitting execution of terrorists who kill Americans abroad . )	passed	the Senate	a bill
( Separately , the Senate last week passed a bill permitting execution of terrorists who kill Americans abroad . )	permitting	a bill	execution of terrorists who kill Americans abroad
( Separately , the Senate last week passed a bill permitting execution of terrorists who kill Americans abroad . )	kill	terrorists	Americans abroad
The video was the first ever to feature the use of dialogue .	was	The video	the first ever
The video was the first ever to feature the use of dialogue .	feature	The video	the use of dialogue
Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .	dons	Stephanie	her costume
Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .	starts	Cluemaster	some new plan
The Second Section index , which fell 36.87 points Friday , was down 21.44 points , or 0.59 % , to close at 3636.06 .	fell	The Second Section index	36.87 points
The Second Section index , which fell 36.87 points Friday , was down 21.44 points , or 0.59 % , to close at 3636.06 .	was down	The Second Section index	21.44 points , or 0.59 %
The Second Section index , which fell 36.87 points Friday , was down 21.44 points , or 0.59 % , to close at 3636.06 .	close at	The Second Section index	3636.06
The forest - products concern currently has about 38 million shares outstanding .	has	The forest - products concern	about 38 million shares outstanding
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	is	Ballard	nearly possessed
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	is given	she	a drug
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	are attacking	the spirits	them
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	believe	they	that the humans are invaders
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	are	the humans	invaders
At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .	plan to exterminate	they	the humans on Mars
It is not really passable , and must be done on foot if attempted .	is not	It	really passable
Coca - Cola Co. , aiming to boost soft - drink volume in Singapore , said it is discussing a joint venture with Fraser & Neave Ltd. , its bottling franchisee in that country .	aiming to boost	Coca - Cola Co.	soft - drink volume
Coca - Cola Co. , aiming to boost soft - drink volume in Singapore , said it is discussing a joint venture with Fraser & Neave Ltd. , its bottling franchisee in that country .	is discussing	it	a joint venture
Hoechst 33342 and 33258 are quenched by Bromodeoxyuridine , which is commonly used to detect dividing cells .	are quenched by	Hoechst 33342 and 33258	Bromodeoxyuridine
Hoechst 33342 and 33258 are quenched by Bromodeoxyuridine , which is commonly used to detect dividing cells .	is commonly used to detect	Bromodeoxyuridine	dividing cells
JAL introduced jet service on the Fukuoka-Tokyo route in 1961 .	introduced	JAL	jet service
Warner Communications Inc. , which is being acquired by Time Warner , has filed a $ 1 billion breach - of - contract suit against Sony and the two producers .	is being acquired by	Warner Communications Inc.	Time Warner
Warner Communications Inc. , which is being acquired by Time Warner , has filed a $ 1 billion breach - of - contract suit against Sony and the two producers .	has filed	Warner Communications Inc.	a $ 1 billion breach - of - contract suit
From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .	banned	the University	smoking
From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .	were once designated as	areas	smoking areas
The restrictions against eating meat and drinking wine , besides reducing a person 's pleasure , recall the cessation of the `` Korban Tamid '' and the `` Nesach Hayayin '' on the Temple Altar with the destruction of the Temple .	reducing	The restrictions against eating meat and drinking wine	a person 's pleasure
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	changed to	A common name , logo , and programming schedule followed in 1982	the `` Southern Cross Network ''
A common name , logo , and programming schedule followed in 1982 , with the establishment of the `` TV8 '' network between the three stations , changed to the `` Southern Cross Network '' seven years later .	followed in	A common name , logo , and programming schedule	1982
With no assigned task , the Cosmos expressed concern for what Battra might do .	expressed	the Cosmos	concern
A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .	got	he	the machine
A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .	left	it	grease marks
A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .	was	it	boring
Senate Appropriations Committee Chairman Robert Byrd ( D. , W.Va . ) strongly resisted deeper cuts sought by the House .	strongly resisted	Robert Byrd ( D. , W.Va . )	deeper cuts sought by the House
Senate Appropriations Committee Chairman Robert Byrd ( D. , W.Va . ) strongly resisted deeper cuts sought by the House .	sought by	deeper cuts	the House
`` I ca n't believe they ( GM ) will let Ford have a free run , '' said Stephen Reitman , a European auto industry analyst at UBS - Phillips & Drew .	ca n't believe	Stephen Reitman	they ( GM ) will let Ford have a free run
`` I ca n't believe they ( GM ) will let Ford have a free run , '' said Stephen Reitman , a European auto industry analyst at UBS - Phillips & Drew .	will let	they ( GM )	Ford
`` I ca n't believe they ( GM ) will let Ford have a free run , '' said Stephen Reitman , a European auto industry analyst at UBS - Phillips & Drew .	have	Ford	a free run
The rapids at the head of the South Fork were removed in 1908 .	were removed in	The rapids at the head of the South Fork	1908
The fitness craze itself has gone soft , the survey found .	found	the survey	The fitness craze itself has gone soft
The fitness craze itself has gone soft , the survey found .	has gone	The fitness craze itself	soft
Hilf al-Fudul was a 7th-century alliance created by various Meccans , including the Islamic prophet Muhammad , to establish fair commercial dealing .	created by	Hilf al-Fudul	various Meccans , including the Islamic prophet Muhammad
Hilf al-Fudul was a 7th-century alliance created by various Meccans , including the Islamic prophet Muhammad , to establish fair commercial dealing .	including	various Meccans	the Islamic prophet Muhammad
Hilf al-Fudul was a 7th-century alliance created by various Meccans , including the Islamic prophet Muhammad , to establish fair commercial dealing .	establish	Hilf al-Fudul	fair commercial dealing
Osamu Nagayama , deputy president of Chugai , which spends about 15 % of its sales on research and development , was unable to pinpoint how much money Chugai would pump into Gen - Probe .	was unable to pinpoint	Osamu Nagayama	how much money Chugai would pump into Gen - Probe
Osamu Nagayama , deputy president of Chugai , which spends about 15 % of its sales on research and development , was unable to pinpoint how much money Chugai would pump into Gen - Probe .	spends	Chugai	about 15 % of its sales
Osamu Nagayama , deputy president of Chugai , which spends about 15 % of its sales on research and development , was unable to pinpoint how much money Chugai would pump into Gen - Probe .	would pump	Chugai	how much money
US 258 intersects NC 222 in Fountain before entering Edgecombe County .	intersects	US 258	NC 222
US 258 intersects NC 222 in Fountain before entering Edgecombe County .	entering	US 258	Edgecombe County
He also unfortunately illustrated this intricate , jazzy tapestry with Mr. Pearson 's images , this time of geometric or repeating objects , in a kitschy mirroring of the musical structure that was thoroughly distracting from Mr. Reich 's piece and Mr. Stoltzman 's elegant execution of it .	unfortunately illustrated	He	this intricate , jazzy tapestry with Mr. Pearson 's images
He also unfortunately illustrated this intricate , jazzy tapestry with Mr. Pearson 's images , this time of geometric or repeating objects , in a kitschy mirroring of the musical structure that was thoroughly distracting from Mr. Reich 's piece and Mr. Stoltzman 's elegant execution of it .	was thoroughly distracting from	musical structure	Mr. Reich 's piece and Mr. Stoltzman 's elegant execution of it
When Naguib began showing signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and drawing closer to Egypt 's established political forces , namely the Wafd and the Brotherhood , Nasser resolved to depose him .	resolved to depose	Nasser	him
When Naguib began showing signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and drawing closer to Egypt 's established political forces , namely the Wafd and the Brotherhood , Nasser resolved to depose him .	began showing	Naguib	signs of independence from Nasser
When Naguib began showing signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and drawing closer to Egypt 's established political forces , namely the Wafd and the Brotherhood , Nasser resolved to depose him .	distancing	Naguib	himself
When Naguib began showing signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and drawing closer to Egypt 's established political forces , namely the Wafd and the Brotherhood , Nasser resolved to depose him .	drawing closer to	Naguib	Egypt 's established political forces
In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .	took control of	Nasser	the interior ministry post
In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .	pressured	Nasser	Naguib
In June , Nasser took control of the interior ministry post from Naguib loyalist Sulayman Hafez , and pressured Naguib to conclude the abolition of the monarchy .	conclude	Naguib	the abolition of the monarchy
`` Greenfish '' was launched by the Electric Boat Co. , Groton , Conn. , 21 December 1945 ; sponsored by Mrs. Thomas J. Doyle ; and commissioned 7 June 1946 , Comdr. R. M. Metcalf commanding .	was launched by	`` Greenfish ''	the Electric Boat Co. , Groton , Conn.
`` Greenfish '' was launched by the Electric Boat Co. , Groton , Conn. , 21 December 1945 ; sponsored by Mrs. Thomas J. Doyle ; and commissioned 7 June 1946 , Comdr. R. M. Metcalf commanding .	sponsored by	`` Greenfish ''	Mrs. Thomas J. Doyle
`` Greenfish '' was launched by the Electric Boat Co. , Groton , Conn. , 21 December 1945 ; sponsored by Mrs. Thomas J. Doyle ; and commissioned 7 June 1946 , Comdr. R. M. Metcalf commanding .	commissioned	`` Greenfish ''	Comdr. R. M. Metcalf
Panhandle Eastern Corp. said it applied , on behalf of two of its subsidiaries , to the Federal Energy Regulatory Commission for permission to build a 352 - mile , $ 273 million pipeline system from Pittsburg County , Okla. , to Independence , Miss .	applied	it	to the Federal Energy Regulatory Commission
Panhandle Eastern Corp. said it applied , on behalf of two of its subsidiaries , to the Federal Energy Regulatory Commission for permission to build a 352 - mile , $ 273 million pipeline system from Pittsburg County , Okla. , to Independence , Miss .	build	Panhandle Eastern Corp.	a 352 - mile , $ 273 million pipeline system
Swinburne moves in his writing program from the philosophical to the theological , building his case rigorously .	moves in	Swinburne	his writing program
Swinburne moves in his writing program from the philosophical to the theological , building his case rigorously .	building	Swinburne	his case
The site consists of three subterranean Grotto follies , constructed in the 18th century , split between two areas , one on the western side of the lake , at and one on the eastern side at .	consists of	The site	three subterranean Grotto follies
The site consists of three subterranean Grotto follies , constructed in the 18th century , split between two areas , one on the western side of the lake , at and one on the eastern side at .	constructed in	The site	the 18th century
The site consists of three subterranean Grotto follies , constructed in the 18th century , split between two areas , one on the western side of the lake , at and one on the eastern side at .	split between	The site	two areas
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	marks	Yesler Way	the boundary between two different plats
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	does not line up with	the street grid north of Yesler	the neighborhood 's other streets
Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .	zigzags along	the northern `` border '' of the district	numerous streets
Historically , Aiseau was a village dedicated to agriculture , logging , but also to the industry .	dedicated to	Aiseau	agriculture , logging , but also to the industry
These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .	are visually very similar to	These	part number 2189014-00-211
These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .	holding	screws	the keyboard
These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .	requiring	macro programming	the control key
These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .	bearing	silver label on the reverse	the AnyKey moniker
These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .	lacking	macro programming	the AnyKey inscription on their face
The surprise announcement came after the IRS broke off negotiations with Mr. Hunt on a settlement of the one - time tycoon 's personal bankruptcy case .	broke off	the IRS	negotiations
Under the Comanche program , each company built different parts of the aircraft .	built	each company	different parts of the aircraft
If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse .	still points in	the average magnetization vector	a nonparallel direction
If the second excitation pulse is sent prematurely before the relaxation is complete , the average magnetization vector still points in a nonparallel direction , giving suboptimal absorption and emission of the pulse .	giving	the average magnetization vector	suboptimal absorption and emission of the pulse
After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .	pulled	locomotives	trains
The Soviets complicated the issue by offering to include light tanks , which are as light as 10 tons .	complicated	The Soviets	the issue
The Soviets complicated the issue by offering to include light tanks , which are as light as 10 tons .	offering to include	The Soviets	light tanks
The Soviets complicated the issue by offering to include light tanks , which are as light as 10 tons .	are as light as	light tanks	10 tons
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	shouting	The riders	protests
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	demanded	some	Pierre Dumas
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	should also take	Pierre Dumas	a test
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	'd been drinking	he	wine
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	taking	he	aspirin
The riders climbed off and began walking , shouting protests in general and in particular abuse at the race doctor , Pierre Dumas , whom some demanded should also take a test to see if he 'd been drinking wine or taking aspirin to make his own job easier .	make	drinking wine or taking aspirin	his own job
Soviets remain in charge of education programs , a former head of an African military tribunal for executions is in charge of culture , and a hard - line Polish communist in exile directs the human - rights and peace division .	remain in charge of	Soviets	education programs
Soviets remain in charge of education programs , a former head of an African military tribunal for executions is in charge of culture , and a hard - line Polish communist in exile directs the human - rights and peace division .	is in charge of	a former head of an African military tribunal for executions	culture
Soviets remain in charge of education programs , a former head of an African military tribunal for executions is in charge of culture , and a hard - line Polish communist in exile directs the human - rights and peace division .	directs	a hard - line Polish communist in exile	the human - rights and peace division
There have been two crashes involving fatalities at the airfield since it was established .	have been	There	two crashes involving fatalities
John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .	brought down	John Stewart and Guy Gardner	New Warworld and the Yellow Central Power Battery
John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .	contained by	New Warworld and the Yellow Central Power Battery	a shield
John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .	created by	a shield	hundreds of Green Lanterns
John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .	contain	a shield	the explosion
John Stewart and Guy Gardner brought down New Warworld and the Yellow Central Power Battery , which were detonated next to the Anti-Monitor , and contained by a shield created by hundreds of Green Lanterns to contain the explosion ; even this was not enough to kill him .	was not enough to kill	this	him
Though Mr. Packer has since sold his stake , Courtaulds is moving to keep its institutional shareholders happy .	has since sold	Mr. Packer	his stake
Though Mr. Packer has since sold his stake , Courtaulds is moving to keep its institutional shareholders happy .	is moving to keep	Courtaulds	its institutional shareholders
Repeat customers also can purchase luxury items at reduced prices .	can purchase	Repeat customers	luxury items
In the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .	rose	profit	10 %
Applying this technique facilitates the connection of the center of the foot with the lower abdomen .	facilitates	Applying this technique	the connection of the center of the foot
For the record , Jeffrey Kaufman , an attorney for Fireman 's Fund , said he was `` rattled -- both literally and figuratively . ''	said	Jeffrey Kaufman	he was `` rattled -- both literally and figuratively . ''
For the record , Jeffrey Kaufman , an attorney for Fireman 's Fund , said he was `` rattled -- both literally and figuratively . ''	was	he	`` rattled -- both literally and figuratively . ''
On November 2 , 2005 , Brown ended his contract early and left the federal government .	ended	Brown	his contract
On November 2 , 2005 , Brown ended his contract early and left the federal government .	left	Brown	the federal government
The CRZ was organized by the Nepal and Indian members of the Naxalite movement , in a meeting at Siliguri in the Indian State of West Bengal during August 2001 .	was organized by	The CRZ	the Nepal and Indian members of the Naxalite movement
The band also confirmed that the album would be self-released .	confirmed	The band	that the album would be self-released
The band also confirmed that the album would be self-released .	would be	the album	self-released
The dollar drew strength from the stock market 's climb .	drew strength from	The dollar	the stock market 's climb
In the 1986 television series `` War and Remembrance '' , Johns took the role of the senior Nazi SS officer Adolf Eichmann .	took the role of	Johns	the senior Nazi SS officer Adolf Eichmann
It should be noted that these numbers are inclusive of any of the childminders own children .	should be noted	It	that these numbers are inclusive of any of the childminders own children
It should be noted that these numbers are inclusive of any of the childminders own children .	are inclusive of	these numbers	any of the childminders own children
Merrill said it continues to believe that `` the causes of excess market volatility are far more complex than any particular computer trading strategy .	are	the causes of excess market volatility	far more complex
